STPCode,STP
QOP,GREATER MANCHESTER HSC PARTNERSHIP STP
QH8,MID AND SOUTH ESSEX STP
QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP
QMF,EAST LONDON HEALTH & CARE P/SHIP STP
QKS,KENT & MEDWAY STP
QWU,COVENTRY & WARWICKSHIRE STP
QRL,HAMPSHIRE & THE ISLE OF WIGHT STP
QF7,SOUTH YORKSHIRE & BASSETLAW STP
QHM,CUMBRIA & NORTH EAST STP
QJK,DEVON STP
QUE,CAMBRIDGESHIRE & PETERBOROUGH STP
QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP
QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP
QYG,CHESHIRE & MERSEYSIDE STP
QNC,STAFFORDSHIRE & STOKE ON TRENT STP
QKK,OUR HEALTHIER SOUTH EAST LONDON STP
QNX,SUSSEX & EAST SURREY STP
QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP"
QOQ,"HUMBER, COAST & VALE STP"
QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP
QMJ,NORTH LONDON PARTNERS IN H&C STP
QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP
QGH,HEREFORDSHIRE & WORCESTERSHIRE STP
QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP
QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP"
QSL,SOMERSET STP
QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP
QJM,LINCOLNSHIRE STP
QPM,NORTHAMPTONSHIRE STP
QR1,GLOUCESTERSHIRE STP
QHL,BIRMINGHAM & SOLIHULL STP
QOC,SHROPSHIRE & TELFORD & WREKIN STP
QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP
QUY,"BRISTOL, N SOMERSET & S GLOUCS STP"
QNQ,FRIMLEY HEALTH & CARE ICS STP
QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
QM7,HERTFORDSHIRE & WEST ESSEX STP
QJ2,JOINED UP CARE DERBYSHIRE STP
QJG,SUFFOLK & NORTH EAST ESSEX STP
QVV,DORSET STP
QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP"
